id,text
P001,"I feel a bit tired today but I can manage to finish my tasks."
P002,"If I don't get this promotion, my entire career is over and I'll be destitute."
P003,"He didn't say hello to me in the hallway, so he definitely hates me."
P004,"I made a mistake on the report. I am completely useless at everything I do."
P005,"I feel anxious about the upcoming trip, which is a normal reaction to travel."
P006,"I felt a strange pain in my arm, I am surely having a stroke right now."
P007,"It's all my fault that it rained during the picnic, I should have chosen a different day."
P008,"I should never make mistakes, otherwise I am weak and undisciplined."
P009,"I am sad about the bad news, but I know I will recover in time."
P010,"Nothing good ever happens to me, I am just unlucky."
